English,French
a,a
abandon,abandonner
ability,capacité
able,capable
abolish,abolir
abortion,avortement
about,à propos de
about,à propos de
above,ci-dessus
above,ci-dessus
abroad,à l'étranger
absence,absence
absent,absents
absolute,absolu
absolutely,absolument
absorb,absorber
abstract,abstrait
absurd,absurde
abundance,l'abondance
abuse,abus
abuse,abus
academic,académique
academic,académique
academy,académie
accelerate,accélérer
accent,accent
accept,accepter
acceptable,acceptable
acceptance,acceptation
access,accès
access,accès
accessible,accessible
accident,accident
accidentally,accidentellement
accommodate,accueillir
accommodation,hébergement
accompany,accompagner
accomplish,accomplir
accomplishment,accomplissement
accordance,conformité
according to,selon
accordingly,en conséquence
account,compte
account,compte
accountability,responsabilité
accountable,responsable
accountant,comptable
accounting,comptabilité
accumulate,accumuler
accumulation,l'accumulation
accuracy,précision
accurate,précis
accurately,avec précision
accusation,accusation
accuse,accuser
accused,accusé
achieve,réaliser
achievement,réalisation
acid,acide
acid,acide
acknowledge,reconnaître
acquire,acquérir
acquisition,acquisition
acre,acre
across,à travers
across,à travers
act,acte
act,acte
action,action
activate,activer
activation,l'activation
active,actif
activist,militant
activity,activité
actor,acteur
actress,actrice
actual,réel
actually,en fait
acute,aiguës
ad,annonce
adapt,s'adapter
adaptation,adaptation
add,ajouter
addiction,dépendance
addition,addition
additional,supplémentaires
additionally,en plus
address,adresse
address,adresse
adequate,adéquat
adequately,de manière adéquate
adhere,adhérer
adjacent,adjacente
adjust,ajuster
adjustment,ajustement
administer,administrer
administration,l'administration
administrative,administratif
administrator,administrateur
admire,admirer
admission,admission
admit,admettre
adolescent,adolescent
adopt,adopter
adoption,adoption
adult,adulte
adult,adulte
advance,avancer
advance,avancer
advance,avancer
advanced,avancé
advantage,avantage
adventure,aventure
adverse,défavorable
advertise,annoncer
advertisement,publicité
advertising,publicité
advice,conseils
advise,conseiller
advocate,défenseur
advocate,défenseur
aesthetic,esthétique
affair,affaire
affect,affecter
affection,affection
afford,se permettre
affordable,abordable
afraid,effrayé
after,après
after,après
after,après
aftermath,suites
afternoon,après-midi
afterwards,après
again,à nouveau
against,contre
age,âge
age,âge
aged,vieillie
agency,agence
agenda,l'ordre du jour
agent,agent
aggression,l'agression
aggressive,agressif
ago,il y a
agree,accepter
agreement,accord
agricultural,agricole
agriculture,l'agriculture
ah,ah
ahead,à l'avance
aid,l'aide
aid,l'aide
aide,aide
AIDS,SIDA
aim,objectif
aim,objectif
air,l'air
aircraft,avion
airline,compagnie aérienne
airport,aéroport
alarm,alarme
alarm,alarme
albeit,bien que
album,album
alcohol,l'alcool
alcoholic,alcoolique
alert,alerte
alert,alerte
alert,alerte
alien,étranger
alien,étranger
align,aligner
alignment,alignement
alike,semblables
alike,semblables
alive,vivant
all,tous
all,tous
all,tous
all right,très bien
all right,très bien
all right,très bien
allegation,allégation
allege,alléguer
allegedly,prétendument
alliance,alliance
allocate,allouer
allocation,l'allocation
allow,permettre
allowance,allocation
ally,allié
almost,presque
alone,seul
alone,seul
along,le long de
along,le long de
alongside,à côté
already,déjà
also,également
alter,modifier
alternative,alternative
alternative,alternative
although,bien que
altogether,au total
aluminium,aluminium
always,toujours
amateur,amateur
amateur,amateur
amazed,stupéfait
amazing,étonnant
ambassador,ambassadeur
ambition,ambition
ambitious,ambitieux
ambulance,ambulance
amend,modifier
amendment,amendement
amid,au milieu
among,parmi
amount,montant
amount,montant
amusing,amusant
analogy,analogie
analyse,analyser
analysis,l'analyse
analyst,analyste
ancestor,ancêtre
anchor,ancre
ancient,ancien
and,et
angel,ange
anger,colère
angle,angle
angrily,avec colère
angry,en colère
animal,animal
animation,animation
ankle,cheville
anniversary,anniversaire
announce,annoncer
announcement,annonce
annoy,ennuyer
annoyed,ennuyé
annoying,ennuyeux
annual,annuel
annually,annuellement
anonymous,anonyme
another,autre
another,autre
answer,répondre
answer,répondre
anticipate,anticiper
anxiety,l'anxiété
anxious,anxieux
any,tous
any,tous
any,tous
any more,Plus d'informations
anybody,personne
anyone,n'importe qui
anything,n'importe quoi
anyway,Quoi qu'il en soit
anywhere,n'importe où
anywhere,n'importe où
apart,à part
apartment,appartement
apologize,s'excuser
apology,excuses
app,application
apparatus,appareil
apparent,apparente
apparently,apparemment
appeal,appel
appeal,appel
appealing,attrayante
appear,apparaître
appearance,apparence
appetite,l'appétit
applaud,applaudir
apple,pomme
applicable,applicable
applicant,demandeur
application,application
apply,appliquer
appoint,nommer
appointment,rendez-vous
appreciate,apprécier
appreciation,appréciation
approach,approche
approach,approche
appropriate,approprié
appropriately,de manière appropriée
approval,approbation
approve,approuver
approximately,approximativement
April,Avril
arbitrary,arbitraire
architect,architecte
architectural,architectural
architecture,l'architecture
archive,archives
area,zone
arena,arène
arguably,sans doute
argue,argumenter
argument,argument
arise,naître
arm,bras
arm,bras
armed,armé
arms,bras
army,armée
around,autour de
around,autour de
arrange,arranger
arrangement,arrangement
array,réseau
arrest,arrestation
arrest,arrestation
arrival,arrivée
arrive,arriver
arrow,flèche
art,l'art
article,article
articulate,articuler
artificial,artificiel
artist,artiste
artistic,artistique
artwork,œuvre d'art
as,comme
as,comme
as,comme
ash,cendre
ashamed,honteux
aside,à part
ask,demander
asleep,endormi
aspect,aspect
aspiration,aspiration
aspire,aspirer
assassination,assassinat
assault,agression
assault,agression
assemble,assembler
assembly,assemblée
assert,affirmer
assertion,affirmation
assess,évaluer
assessment,évaluation
asset,actif
assign,attribuer
assignment,affectation
assist,aider
assistance,l'assistance
assistant,assistant
assistant,assistant
associate,associer
associated,associé
association,association
assume,assumer
assumption,hypothèse
assurance,assurance
assure,assurer
astonishing,étonnant
asylum,asile
at,à
athlete,athlète
atmosphere,atmosphère
atrocity,atrocité
attach,attacher
attachment,attachement
attack,attaque
attack,attaque
attain,atteindre
attempt,tentative
attempt,tentative
attend,assister
attendance,présence
attention,attention
attention,attention
attitude,attitude
attorney,avocat
attract,attirer
attraction,attraction
attractive,attractif
attribute,attribut
attribute,attribut
auction,vente aux enchères
audience,public
audio,audio
audit,audit
August,Août
aunt,tante
authentic,authentique
author,auteur
authority,l'autorité
authorize,autoriser
auto,automobile
automatic,automatique
automatically,automatiquement
autonomy,l'autonomie
autumn,automne
availability,disponibilité
available,disponible
average,moyenne
average,moyenne
average,moyenne
avoid,éviter
await,attendre
award,prix
award,prix
aware,conscient
awareness,sensibilisation
away,à l'extérieur
awful,terrible
awkward,maladroit
baby,bébé
back,retour
back,retour
back,retour
back,retour
backdrop,toile de fond
background,arrière-plan
backing,soutien
backup,sauvegarde
backwards,à l'envers
bacteria,bactéries
bad,mauvais
badge,badge
badly,mal
bag,sac
bail,caution
bake,cuisson
balance,équilibre
balance,équilibre
balanced,équilibré
ball,balle
ballet,ballet
balloon,ballon
ballot,bulletin de vote
ban,interdiction
ban,interdiction
banana,banane
band,groupe
bank,banque
banner,bannière
bar,bar
bar,bar
bare,nu
barely,à peine
bargain,marchandage
barrel,tonneau
barrier,barrière
base,base
base,base
baseball,baseball
based,basé
basement,sous-sol
basic,de base
basically,fondamentalement
basis,base
basket,panier
basketball,basket-ball
bass,basse
bat,chauve-souris
bat,chauve-souris
bath,bain
bathroom,salle de bain
battery,batterie
battle,bataille
battle,bataille
battlefield,champ de bataille
bay,baie
be,être
be,être
beach,plage
beam,faisceau
bean,haricot
bear,ours
bear,ours
beast,bête
beat,battre
beat,battre
beautiful,belle
beauty,beauté
because,parce que
become,devenir
bed,lit
bedroom,chambre à coucher
bee,abeille
beef,bœuf
beer,bière
before,avant
before,avant
before,avant
beg,supplier
begin,commencer
beginning,début
behalf,Nom
behave,se comporter
behaviour,comportement
behind,derrière
behind,derrière
being,être
belief,croyance
believe,croire
bell,cloche
belong,appartenir
beloved,bien-aimés
below,ci-dessous
below,ci-dessous
belt,ceinture
bench,banc
benchmark,repère
bend,coude
bend,coude
beneath,sous
beneficial,bénéfique
beneficiary,bénéficiaire
benefit,avantage
benefit,avantage
bent,plié
beside,à côté
besides,d'ailleurs
besides,d'ailleurs
best,meilleur
best,meilleur
best,meilleur
bet,miser
bet,miser
betray,trahir
better,meilleur
better,meilleur
better,meilleur
between,entre
between,entre
beyond,au-delà
beyond,au-delà
bias,biais
bicycle,bicyclette
bid,offre
bid,offre
big,grand
bike,vélo
bill,facture
bill,facture
billion,milliard
bin,poubelle
bind,lier
biography,biographie
biological,biologique
biology,biologie
bird,oiseau
birth,naissance
birthday,anniversaire
biscuit,biscuit
bishop,évêque
bit,mors
bite,morsure
bite,morsure
bitter,amer
bizarre,étrange
black,noir
black,noir
blade,lame
blame,blâme
blame,blâme
blank,vierge
blank,vierge
blanket,couverture
blast,explosion
blast,explosion
bleed,saigner
blend,mélange
blend,mélange
bless,bénir
blessing,bénédiction
blind,aveugle
block,bloc
block,bloc
blog,blog
blonde,blonde
blood,sang
blow,souffler
blow,souffler
blue,bleu
blue,bleu
board,conseil
board,conseil
boast,se vanter
boat,bateau
body,corps
boil,bouillir
bold,audacieux
bomb,bombe
bomb,bombe
bombing,bombardement
bond,lien
bone,os
bonus,bonus
book,livre
book,livre
booking,réservation
boom,perche
boost,stimuler
boost,stimuler
boot,botte
border,frontière
border,frontière
bored,s'ennuyer
boring,ennuyeux
born,nés
borrow,emprunter
boss,patron
both,les deux
both,les deux
