English,Russian
a,a
abandon,покинуть
ability,способность
able,способный
abolish,упразднить
abortion,аборт
about,о
about,о
above,выше
above,выше
abroad,за границей
absence,отсутствие
absent,отсутствует
absolute,абсолютный
absolutely,абсолютно
absorb,поглощать
abstract,реферат
absurd,абсурд
abundance,изобилие
abuse,злоупотребление
abuse,злоупотребление
academic,академическая
academic,академическая
academy,академия
accelerate,ускорить
accent,Акцент
accept,принять
acceptable,приемлемый
acceptance,принятие
access,доступ
access,доступ
accessible,доступный
accident,авария
accidentally,случайно
accommodate,разместить
accommodation,размещение
accompany,сопровождать
accomplish,выполнить
accomplishment,достижение
accordance,соответствие
according to,согласно
accordingly,соответственно
account,счет
account,счет
accountability,подотчетность
accountable,подотчетный
accountant,бухгалтер
accounting,бухгалтерский учет
accumulate,накапливать
accumulation,накопление
accuracy,точность
accurate,точный
accurately,точно
accusation,обвинение
accuse,обвинять
accused,обвиняемый
achieve,достичь
achievement,достижение
acid,кислота
acid,кислота
acknowledge,подтвердить
acquire,приобрести
acquisition,приобретение
acre,акр
across,через
across,через
act,акт
act,акт
action,действие
activate,активировать
activation,активация
active,активная
activist,активист
activity,деятельность
actor,актер
actress,актриса
actual,фактический
actually,на самом деле
acute,острый
ad,объявление
adapt,адаптировать
adaptation,адаптация
add,добавить
addiction,зависимость
addition,добавление
additional,дополнительно
additionally,дополнительно
address,адрес
address,адрес
adequate,адекватный
adequately,адекватно
adhere,придерживаться
adjacent,прилегающая территория
adjust,настроить
adjustment,регулировка
administer,администрировать
administration,администрация
administrative,административный
administrator,администратор
admire,восхищаться
admission,поступление
admit,признать
adolescent,подросток
adopt,принять
adoption,усыновление
adult,взрослый
adult,взрослый
advance,аванс
advance,аванс
advance,аванс
advanced,продвинутый
advantage,преимущество
adventure,приключения
adverse,неблагоприятные
advertise,рекламировать
advertisement,реклама
advertising,реклама
advice,совет
advise,посоветуйте
advocate,Адвокат
advocate,Адвокат
aesthetic,эстетика
affair,роман
affect,влиять
affection,привязанность
afford,позволить себе
affordable,доступный
afraid,боится
after,после
after,после
after,после
aftermath,последствия
afternoon,после обеда
afterwards,после этого
again,снова
against,против
age,возраст
age,возраст
aged,в возрасте
agency,агентство
agenda,повестка дня
agent,агент
aggression,агрессия
aggressive,агрессивный
ago,назад
agree,согласен
agreement,соглашение
agricultural,сельское хозяйство
agriculture,сельское хозяйство
ah,ах
ahead,вперед
aid,помощь
aid,помощь
aide,помощник
AIDS,СПИД
aim,цель
aim,цель
air,воздух
aircraft,самолет
airline,авиакомпания
airport,аэропорт
alarm,сигнализация
alarm,сигнализация
albeit,хотя и
album,альбом
alcohol,алкоголь
alcoholic,алкоголь
alert,оповещение
alert,оповещение
alert,оповещение
alien,инопланетянин
alien,инопланетянин
align,выровнять
alignment,выравнивание
alike,похожие
alike,похожие
alive,живой
all,все
all,все
all,все
all right,всё в порядке
all right,всё в порядке
all right,всё в порядке
allegation,утверждение
allege,"утверждать, что"
allegedly,предположительно
alliance,альянс
allocate,выделить
allocation,распределение
allow,разрешить
allowance,пособие
ally,союзник
almost,почти
alone,в одиночку
alone,в одиночку
along,вдоль
along,вдоль
alongside,рядом с
already,уже
also,также
alter,изменить
alternative,альтернатива
alternative,альтернатива
although,хотя
altogether,в целом
aluminium,алюминий
always,всегда
amateur,любитель
amateur,любитель
amazed,поражен
amazing,удивительный
ambassador,посол
ambition,амбиции
ambitious,амбициозный
ambulance,скорая помощь
amend,внести изменения
amendment,поправка
amid,на фоне
among,среди
amount,сумма
amount,сумма
amusing,забавный
analogy,аналогия
analyse,проанализировать
analysis,анализ
analyst,аналитик
ancestor,предок
anchor,якорь
ancient,древний
and,и
angel,ангел
anger,гнев
angle,угол
angrily,сердито
angry,сердитый
animal,животное
animation,анимация
ankle,лодыжка
anniversary,юбилей
announce,объявить
announcement,объявление
annoy,раздражать
annoyed,раздраженный
annoying,назойливый
annual,ежегодно
annually,ежегодно
anonymous,аноним
another,еще
another,еще
answer,ответ
answer,ответ
anticipate,предвидеть
anxiety,беспокойство
anxious,тревожно
any,любой
any,любой
any,любой
any more,больше
anybody,кто угодно
anyone,Кто-нибудь
anything,"все, что угодно"
anyway,в любом случае
anywhere,везде
anywhere,везде
apart,отдельно
apartment,квартира
apologize,извинитесь
apology,извинения
app,приложение
apparatus,аппарат
apparent,очевидное
apparently,"очевидно,"
appeal,апелляция
appeal,апелляция
appealing,привлекательный
appear,появляться
appearance,внешний вид
appetite,аппетит
applaud,аплодировать
apple,яблоко
applicable,применимо
applicant,заявитель
application,приложение
apply,применить
appoint,назначить
appointment,назначение
appreciate,оцените
appreciation,благодарность
approach,подход
approach,подход
appropriate,соответствующий
appropriately,соответствующим образом
approval,одобрение
approve,утвердить
approximately,примерно
April,Апрель
arbitrary,произвольный
architect,архитектор
architectural,архитектура
architecture,архитектура
archive,архив
area,область
arena,арена
arguably,возможно
argue,спорить
argument,аргумент
arise,возникнуть
arm,рука
arm,рука
armed,вооруженный
arms,оружие
army,армия
around,вокруг
around,вокруг
arrange,организовать
arrangement,расположение
array,массив
arrest,арест
arrest,арест
arrival,прибытие
arrive,прибыть
arrow,стрела
art,искусство
article,статья
articulate,артикулировать
artificial,искусственный
artist,художник
artistic,художественный
artwork,произведения искусства
as,в роли
as,в роли
as,в роли
ash,зола
ashamed,стыдно
aside,в сторону
ask,спросите
asleep,спит
aspect,аспект
aspiration,аспирация
aspire,aspire
assassination,убийство
assault,нападение
assault,нападение
assemble,собрать
assembly,сборка
assert,утверждать
assertion,утверждение
assess,оцените
assessment,оценка
asset,актив
assign,назначить
assignment,задание
assist,помощь
assistance,помощь
assistant,помощник
assistant,помощник
associate,помощник
associated,связанный
association,ассоциация
assume,"предположить, что"
assumption,предположение
assurance,заверение
assure,заверить
astonishing,удивительный
asylum,убежище
at,на
athlete,спортсмен
atmosphere,атмосфера
atrocity,злодеяние
attach,прикрепить
attachment,вложение
attack,атака
attack,атака
attain,достичь
attempt,попытка
attempt,попытка
attend,посетить сайт
attendance,посещаемость
attention,внимание
attention,внимание
attitude,отношение
attorney,адвокат
attract,привлекать
attraction,аттракцион
attractive,привлекательный
attribute,атрибут
attribute,атрибут
auction,аукцион
audience,аудитория
audio,аудио
audit,аудит
August,Август
aunt,тетя
authentic,подлинный
author,автор
authority,авторитет
authorize,разрешить
auto,авто
automatic,автоматический
automatically,автоматически
autonomy,автономия
autumn,осень
availability,наличие
available,доступно
average,в среднем
average,в среднем
average,в среднем
avoid,избегайте
await,ожидайте
award,награда
award,награда
aware,знать
awareness,осведомленность
away,прочь
awful,ужасный
awkward,неловко
baby,ребенок
back,назад
back,назад
back,назад
back,назад
backdrop,фон
background,фон
backing,поддержка
backup,резервное копирование
backwards,назад
bacteria,бактерии
bad,плохой
badge,значок
badly,плохо
bag,сумка
bail,залог
bake,испечь
balance,баланс
balance,баланс
balanced,сбалансированный
ball,шар
ballet,балет
balloon,воздушный шар
ballot,бюллетень
ban,запретить
ban,запретить
banana,банан
band,группа
bank,банк
banner,баннер
bar,бар
bar,бар
bare,голый
barely,едва
bargain,выгодная сделка
barrel,бочка
barrier,барьер
base,база
base,база
baseball,бейсбол
based,на основе
basement,подвал
basic,основной
basically,в основном
basis,основа
basket,корзина
basketball,баскетбол
bass,бас
bat,летучая мышь
bat,летучая мышь
bath,ванна
bathroom,ванная комната
battery,аккумулятор
battle,битва
battle,битва
battlefield,поле боя
bay,залив
be,быть
be,быть
beach,пляж
beam,луч
bean,фасоль
bear,медведь
bear,медведь
beast,зверь
beat,победить
beat,победить
beautiful,красивый
beauty,красота
because,потому что
become,стать
bed,кровать
bedroom,спальня
bee,пчела
beef,говядина
beer,пиво
before,до
before,до
before,до
beg,умолять
begin,начать
beginning,начало
behalf,от имени
behave,вести себя
behaviour,поведение
behind,за
behind,за
being,быть
belief,вера
believe,верить
bell,колокол
belong,принадлежать
beloved,любимая
below,ниже
below,ниже
belt,ремень
bench,скамья
benchmark,эталон
bend,изгиб
bend,изгиб
beneath,под
beneficial,выгодно
beneficiary,бенефициар
benefit,выгода
benefit,выгода
bent,согнутый
beside,рядом с
besides,кроме
besides,кроме
best,лучший
best,лучший
best,лучший
bet,ставка
bet,ставка
betray,предать
better,лучше
better,лучше
better,лучше
between,между
between,между
beyond,за пределами
beyond,за пределами
bias,смещение
bicycle,велосипед
bid,ставка
bid,ставка
big,большой
bike,велосипед
bill,билл
bill,билл
billion,миллиард
bin,bin
bind,связать
biography,биография
biological,биологический
biology,биология
bird,птица
birth,рождение
birthday,день рождения
biscuit,бисквит
bishop,епископ
bit,бит
bite,укус
bite,укус
bitter,горький
bizarre,странный
black,черный
black,черный
blade,лезвие
blame,винить
blame,винить
blank,пустой
blank,пустой
blanket,одеяло
blast,взрыв
blast,взрыв
bleed,кровотечение
blend,смесь
blend,смесь
bless,благословите
blessing,благословение
blind,слепой
block,блок
block,блок
blog,блог
blonde,блондинка
blood,кровь
blow,дуть
blow,дуть
blue,голубой
blue,голубой
board,доска
board,доска
boast,хвастаться
boat,лодка
body,тело
boil,варить
bold,полужирный
bomb,бомба
bomb,бомба
bombing,бомбардировка
bond,облигация
bone,кость
bonus,бонус
book,книга
book,книга
booking,бронирование
boom,стрела
boost,увеличить
boost,увеличить
boot,загрузка
border,граница
border,граница
bored,скучно
boring,скучно
born,родился
borrow,одолжить
boss,босс
both,оба
both,оба
bother,беспокоить
bottle,бутылка
bottom,дно
bottom,дно
bounce,отскок
bound,связанный
boundary,граница
bow,бант
bow,бант
bowl,чаша
box,ящик
boy,мальчик
boyfriend,парень
brain,мозг
branch,филиал
brand,бренд
brand,бренд
brave,храбрый
breach,прорыв
breach,прорыв
bread,хлеб
break,перерыв
break,перерыв
breakdown,поломка
breakfast,завтрак
breakthrough,прорыв
breast,грудь
breath,дыхание
breathe,дышать
breathing,дыхание
breed,порода
breed,порода
brick,кирпич
bride,невеста
bridge,мост
brief,краткое содержание
briefly,кратко
bright,яркий
brilliant,блестящий
bring,принести
broad,широкий
broadband,широкополосный доступ
broadcast,вещание
broadcast,вещание
broadcaster,вещатель
broadly,в целом
broken,сломанный
brother,брат
brown,коричневый
brown,коричневый
browser,браузер
brush,кисть
brush,кисть
brutal,жестокий
bubble,пузырь
buck,бакс
buddy,приятель
budget,бюджет
buffer,буфер
bug,ошибка
build,построить
building,здание
bulk,оптом
bullet,пуля
bunch,букет
burden,бремя
bureaucracy,бюрократия
burial,захоронение
burn,ожог
burn,ожог
burst,разрыв
bury,похоронить
bus,автобус
bush,куст
business,бизнес
businessman,бизнесмен
busy,занят
but,но
but,но
butter,Масло
button,кнопка
buy,купить
by,на
by,на
bye,пока
cabin,кабина
cabinet,шкаф
cable,кабель
cafe,кафе
cake,торт
calculate,рассчитать
calculation,расчет
call,звоните
call,звоните
calm,спокойствие
calm,спокойствие
calm,спокойствие
camera,камера
camp,лагерь
camp,лагерь
campaign,кампания
campaign,кампания
camping,кемпинг
campus,кампус
can,можно
can,можно
canal,канал
cancel,отменить
cancer,рак
candidate,кандидат
candle,свеча
cannot,не может
canvas,холст
cap,шапочка
capability,возможность
capable,способный
capacity,емкость
capital,капитал
capital,капитал
capitalism,капитализм
capitalist,капиталистический
captain,капитан
capture,захват
capture,захват
car,автомобиль
carbon,углерод
card,карта
care,уход
care,уход
career,карьера
careful,осторожно
carefully,осторожно
careless,Неосторожность
cargo,груз
carpet,ковер
carriage,карета
carrot,морковь
carry,переноска
cartoon,мультфильм
carve,вырезать
case,дело
cash,наличные
casino,казино
cast,литье
