word,synonyms
a,one|some|any
abandon,leave|desert|quit
ability,talent|skill|capacity
able,capable|skilled|talented
abolish,cancel|remove|erase
abortion,termination|miscarriage|termination
about,regarding|concerning|pertaining
above,over|higher
abroad,overseas|foreign|international
absence,lack|absent|missing
absent,missing|absentee|away
absolute,complete|total|utter
absolutely,definitely|completely|totally
absorb,soak|drink
abstract,general|theoretical|generalized
absurd,ridiculous|silly|foolish
abundance,plenty|wealth|profusion
abuse,mistreat|exploit|maltreat
academic,scholarly|educational|intellectual
academy,school|institute|university
accelerate,speed|increase|boost
accent,tone|stress|emphasis
accept,agree|allow|endorse
acceptable,tolerable|satisfactory|adequate
acceptance,agreement|approval|endorsement
access,entry|entryway|approach
accessible,available|reachable|usable
accident,mistake|incident|crash
accidentally,unintentionally|mistakenly|by
accommodate,adjust|fit|suit
accommodation,
accompany,join|follow|attend
accomplish,
accomplishment,
accordance,agreement|conformity|compliance
according to,
accordingly,hence|therefore|thus
account,
accountability,
accountable,responsible|answerable|liable
accountant,
accounting,
accumulate,gather|collect|assemble
accumulation,
accuracy,
accurate,exact|precise|correct
accurately,
accusation,
accuse,blame|charge|fault
accused,
achieve,attain|reach|accomplish
achievement,
acid,sour|sharp|acidic
acknowledge,
acquire,
acquisition,purchase|acquiring|getting
acre,
across,
act,deed|action|move
action,
activate,start|initiate|launch
activation,
active,energetic|lively|dynamic
activist,
activity,
actor,performer|player|artist
actress,
actual,real|true
actually,
acute,
ad,add|append|join
adapt,
adaptation,adjustment|change|modification
add,
addiction,
addition,increase|sum|total
additional,
additionally,
address,location|place|spot
adequate,
adequately,sufficiently|enough|properly
adhere,
adjacent,nearby|next|close
adjust,
adjustment,change|adjust|modification
administer,
administration,management|government|control
administrative,
administrator,manager|supervisor|boss
admire,
admission,entry|access|acceptance
admit,
adolescent,teen|youth|youngster
adopt,
adoption,taking|acceptance|acquisition
adult,
advance,progress|improve|boost
advanced,
advantage,benefit|disadvantage|edge
adventure,
adverse,bad|harmful|unfavorable
advertise,
advertisement,commercial|notice|announcement
advertising,
advice,tip|suggestion|guidance
advise,
advocate,supporter|backer|champion
aesthetic,
affair,
affect,influence|touch|move
affection,
afford,
affordable,cheap|inexpensive|reasonable
afraid,
after,later|next|then
aftermath,
afternoon,
afterwards,later|next|then
again,once|repeatedly|anew
against,opposite|contrary
age,years|period|stage
aged,old|mature|senior
agency,firm|office|company
agenda,schedule|plan|program
agent,representative|broker|intermediary
aggression,anger|hostility|violence
aggressive,hostile|mean|angry
ago,before|earlier|previously
agree,accept|approve|concur
agreement,deal|pact|contract
agricultural,farming|rural|farmland
agriculture,farming|farming|farming
ah,oh|um|hmm
ahead,forward|infront|before
aid,help|support|assistance
aide,assistant|helper|supporter
aids,helps|assists|supports
aim,target|goal|intend
air,breath|wind|atmosphere
aircraft,plane|airship|helicopter
airline,carrier|company|transporter
airport,terminal|station|hub
alarm,warning|signal|alert
albeit,although|despite|nevertheless
album,record|collection|book
alcohol,drink|liquor|spirits
alcoholic,addicted|drunkard|intoxicated
alert,warn|notify|signal
alien,extraterrestrial|stranger|outsider
align,adjust|match|fit
alignment,arrangement|position|placement
alike,similar|same|identical
alive,living|breathing|vital
all,every|each|whole
all right,okay|fine|alright
allegation,claim|accusation|charge
allege,claim|assert|state
allegedly,reportedly|claimed|stated
alliance,partnership|coalition|union
allocate,assign|distribute|assign
allocation,distribution|assignment|assignment
allow,permit|accept|let
allowance,permission|grant|quota
ally,friend|partner|assistant
almost,nearly|practically|virtually
alone,lonely|solitary|isolated
along,together|with|beside
alongside,beside|near|adjacent
already,yet|still
also,too|as|likewise
alter,change|modify|amend
alternative,other|different|secondary
although,despite|nevertheless|however
altogether,entirely|completely|totally
aluminium,metal|silver|copper
always,constantly|forever|ever
amateur,hobbyist|enthusiast|novice
amazed,surprised|stunned|astounded
amazing,great|awesome|incredible
ambassador,representative|diplomat|envoy
ambition,aspiration|drive|desire
ambitious,determined|driven|motivated
ambulance,emergency|vehicle|carriage
amend,change|alter|modify
amendment,change|revision|alteration
amid,among|between|during
among,between|in|with
amount,quantity|sum|total
amusing,funny|entertaining|humorous
analogy,comparison|example|similarity
analyse,examine|study|investigate
analysis,study|examination|evaluation
analyst,expert|researcher|specialist
ancestor,parent|forebear|predecessor
anchor,hook|moor|fasten
ancient,old|historic|vintage
and,also|too|with
angel,messenger|mortal|messenger
anger,fury|rage|ire
angle,corner|slope|edge
angrily,irritably|fiercely
angry,furious|irritated|enraged
animal,creature|beast|pet
animation,cartoon|movie|film
ankle,joint|wrist|knee
anniversary,birthday|wedding|milestone
announce,declare|reveal|tell
announcement,declaration|statement|message
annoy,irritate|bother|nuisance
annoyed,irritated|frustrated|angry
annoying,irksome|frustrating|bothersome
annual,yearly|regular|periodic
annually,yearly|regularly|monthly
anonymous,secret|hidden|private
another,different|additional|extra
answer,reply|solution|response
anticipate,expect|predict|foresee
anxiety,worry|fear|nervousness
anxious,worried|nervous|frightened
any,some|anyone|every
any more,ever|still|again
anybody,someone|anyone|person
anyone,someone|anybody|person
anything,something|everything
anyway,nevertheless|anywise|all
anywhere,everywhere|nowhere|somewhere
apart,separate|distinct|isolated
apartment,flat|room|suite
apologize,regret|excuse|sorry
apology,regret|excuse|sorry
app,program|software|tool
apparatus,machine|device|equipment
apparent,obvious|visible|clear
apparently,obviously|clearly|evidently
appeal,request|plea|petition
appealing,attractive|pleasing|charming
appear,show|look|seem
appearance,look|aspect|view
appetite,hunger|craving|desire
applaud,cheer|clap|hail
apple,pear|banana|orange
applicable,relevant|useful|valid
applicant,candidate|seeker|suitor
application,request|petition|demand
apply,use|put|try
appoint,name|choose|select
appointment,meeting|session|visit
appreciate,value|respect|like
appreciation,gratitude|respect|admiration
approach,method|way|means
appropriate,suitable|relevant|proper
appropriately,properly|suitably|correctly
approval,agreement|acceptance|endorsement
approve,accept|agree|endorse
approximately,roughly|about|nearly
april,spring|summer|autumn
arbitrary,random|unfair|unjust
architect,designer|builder|engineer
architectural,design|structural|technical
architecture,design|layout|structure
archive,store|collection|repository
area,space|zone|region
arena,stadium|ring|field
arguably,possibly|maybe|presumably
argue,disagree|discuss|debate
argument,dispute|debate|quarrel
arise,rise|appear|wake
arm,hand|leg|limb
armed,equipped|fitted|prepared
arms,limbs|weapons|hands
army,troops|forces|soldiers
around,about|near|close
arrange,organize|order|plan
arrangement,plan|setup|organization
array,list|collection|series
arrest,detain|stop|catch
arrival,coming|landing
arrive,come|reach|get
arrow,dart|shaft|bolt
art,craft|skill|design
article,piece|item|report
articulate,express|explain|describe
artificial,fake|synthetic
artist,painter|creator|designer
artistic,creative|imaginative|beautiful
artwork,picture|work|piece
as,like|similar|same
ash,dust|powder|residue
ashamed,embarrassed|ashen|guilty
aside,apart|separate
ask,inquire|question|query
asleep,sleeping|drowsy|dozing
aspect,side|view|facet
aspiration,dream|ambition|goal
aspire,aim|strive|hope
assassination,murder|killing|slaughter
assault,attack|beat|strike
assemble,gather|collect|put
assembly,meeting|gathering|session
assert,claim|state|declare
assertion,claim|statement|declaration
assess,evaluate|judge|appraise
assessment,evaluation|test|judgment
asset,property|resource|good
assign,give|hand|name
assignment,task|job|project
assist,help|aid|support
assistance,help|aid|support
assistant,helper|aid
associate,partner|assistant|colleague
associated,linked|related|connected
association,link|group|connection
assume,suppose|think|believe
assumption,guess|presumption|belief
assurance,certainty|confidence|guarantee
assure,ensure|guarantee|promise
astonishing,amazing|surprising|remarkable
asylum,refuge|sanctuary|shelter
at,in|on|by
athlete,sportsman|player|jock
atmosphere,air|environment|surroundings
atrocity,cruelty|brutality|barbarity
attach,stick|join|connect
attachment,link|connection|tie
attack,assault|raid|strike
attain,reach|achieve|obtain
attempt,try|effort|shot
attend,be|come|join
attendance,presence|participation
attention,focus|concentration|notice
attitude,stance|posture|manner
attorney,lawyer|counselor|advocate
attract,draw|lure|appeal
attraction,draw|magnet|allure
attractive,beautiful|pretty|appealing
attribute,property|quality|feature
auction,sale|bid|bargain
audience,crowd|spectators|viewers
audio,sound|music|voice
audit,examine|check|review
august,grand|impressive|magnificent
aunt,sister|mother|relative
authentic,genuine|real|true
author,writer|creator|composer
authority,power|control|influence
authorize,allow|permit|approve
auto,car|vehicle|motor
automatic,self|instant
automatically,instantly|quickly
autonomy,freedom|independence|control
autumn,fall|harvest|winter
availability,accessibility|readiness|supply
available,free|open|accessible
average,normal|median|midpoint
avoid,shun|steer|sidestep
await,wait|expect|hope
award,prize|honor|recognition
aware,conscious|mindful|alert
awareness,understanding|knowledge|consciousness
away,off|gone|distant
awful,bad|terrible|horrible
awkward,clumsy|uncomfortable|embarrassing
baby,infant|toddler|child
back,rear|behind|rearward
backdrop,background|setting|scene
background,context|scene|setting
backing,support|help|aid
backup,copy|duplicate|redundant
backwards,backward|reverse|backwardly
bacteria,germs|bugs|microbes
bad,worse|poor|awful
badge,symbol|label|patch
badly,poorly|wrongly|incorrectly
bag,sack|pack|case
bail,release|freedom|liberty
bake,cook|roast|heat
balance,equilibrium|stability|harmony
balanced,stable|even|level
ball,sphere|globe|orb
ballet,dance|performance|theater
balloon,helium|inflated|globe
ballot,vote|election|poll
ban,prohibit|forbid|bar
banana,fruit|peel|yellow
band,group|team|ensemble
bank,shore|slope|slope
banner,flag|sign|panel
bar,pub|saloon|tavern
bare,naked|exposed|open
barely,scarcely|hardly|just
bargain,deal|discount|offer
barrel,cask|drum|container
barrier,obstacle|block|hindrance
base,ground|root|foundation
baseball,cricket|diamond|ballgame
based,grounded|founded|established
basement,cellar|underground|subfloor
basic,simple|fundamental|primary
basically,generally|mainly|essentially
basis,ground|reason|cause
basket,container|container|receptacle
basketball,ballgame|hoops|court
bass,drum|guitar|string
bat,club|paddle|slugger
bath,shower|tub|bathtub
bathroom,toilet|loo|restroom
battery,cell|pack|accumulator
battle,fight|struggle|war
battlefield,warfield|battle|field
bay,cove|inlet|harbor
be,exist|live|stay
beach,shore|coast|seaside
beam,pillar|column|post
bean,legume|pea|lentil
bear,animal|beast|monster
beast,monster|creature|animal
beat,hit|win|victory
beautiful,lovely|pretty|attractive
beauty,loveliness|attractiveness|goodlooks
because,since|as|for
become,turn|change|grow
bed,cot|couch|sofa
bedroom,chamber|room|bed
bee,fly|insect|bug
beef,meat|lamb
beer,ale|brew|lager
before,earlier|prior|previous
beg,ask|request|petition
begin,start|initiate
beginning,start|begin|opening
behalf,favor|interest
behave,act|conduct|manner
behaviour,behavior|conduct|manner
behind,back|rear|after
being,existence|person|individual
belief,faith|trust|conviction
believe,trust|think|accept
bell,chime|ring|knell
belong,fit|suit|match
beloved,cherished|loved|dear
below,under|down|beneath
belt,strap|girdle|sash
bench,seat|stool|table
benchmark,standard|model|example
bend,curve|twist|turn
beneath,under|below|down
beneficial,helpful|useful|advantageous
beneficiary,recipient|benefactor|winner
benefit,advantage|gain|profit
bent,crooked|twisted|curved
beside,near|next|adjacent
besides,also|too|additionally
best,finest|greatest|superior
bet,wager|gamble|risk
betray,deceive|betrayal|cheat
better,improved|superior|finer
between,among|in|around
beyond,past|over
bias,prejudice|partiality|preference
bicycle,cycle|bike|pedal
bid,offer|quote|proposal
big,large|huge|enormous
bike,cycle|motorcycle|scooter
bill,invoice|note|account
billion,million|thousand|large
bin,container|basket|trash
