English,German
a,a
abandon,aufgeben
ability,Fähigkeit
able,fähig
abolish,abschaffen
abortion,Abtreibung
about,über
about,über
above,über
above,über
abroad,im Ausland
absence,Abwesenheit
absent,abwesend
absolute,absolut
absolutely,absolut
absorb,absorbieren
abstract,abstrakt
absurd,absurd
abundance,Reichtum
abuse,Missbrauch
abuse,Missbrauch
academic,akademisch
academic,akademisch
academy,akademie
accelerate,beschleunigen
accent,Akzent
accept,akzeptieren
acceptable,akzeptabel
acceptance,Akzeptanz
access,Zugang
access,Zugang
accessible,zugänglich
accident,Unfall
accidentally,versehentlich
accommodate,unterbringen.
accommodation,Unterkunft
accompany,begleiten
accomplish,erreichen
accomplishment,Leistung
accordance,Übereinstimmung
according to,laut
accordingly,entsprechend
account,Konto
account,Konto
accountability,Rechenschaftspflicht
accountable,rechenschaftspflichtig
accountant,Buchhalter
accounting,Buchhaltung
accumulate,akkumulieren
accumulation,Akkumulation
accuracy,Genauigkeit
accurate,genau
accurately,genau
accusation,Anschuldigung
accuse,anklagen
accused,beschuldigt
achieve,erreichen
achievement,Leistung
acid,Säure
acid,Säure
acknowledge,anerkennen.
acquire,erwerben
acquisition,Erwerb
acre,acre
across,über
across,über
act,handeln
act,handeln
action,Aktion
activate,aktivieren.
activation,Aktivierung
active,aktiv
activist,Aktivist
activity,Tätigkeit
actor,Schauspieler
actress,Schauspielerin
actual,aktuell
actually,eigentlich
acute,akut
ad,ad
adapt,anpassen
adaptation,Anpassung
add,hinzufügen.
addiction,Sucht
addition,Zusatz
additional,zusätzlich
additionally,zusätzlich
address,Adresse
address,Adresse
adequate,angemessen
adequately,angemessen
adhere,haften
adjacent,angrenzend
adjust,einstellen.
adjustment,Anpassung
administer,verwalten
administration,Verwaltung
administrative,Verwaltung
administrator,Verwalter
admire,bewundern
admission,Zulassung
admit,zugeben
adolescent,Jugendlicher
adopt,übernehmen.
adoption,Adoption
adult,Erwachsene
adult,Erwachsene
advance,Vorschuss
advance,Vorschuss
advance,Vorschuss
advanced,erweiterte
advantage,Vorteil
adventure,Abenteuer
adverse,nachteilig
advertise,inserieren.
advertisement,Anzeige
advertising,Werbung
advice,Beratung
advise,beraten
advocate,Befürworter
advocate,Befürworter
aesthetic,Ästhetik
affair,Affäre
affect,beeinflussen
affection,Zuneigung
afford,leisten
affordable,erschwinglich
afraid,Angst
after,nach
after,nach
after,nach
aftermath,Nachwehen
afternoon,Nachmittag
afterwards,danach
again,wieder
against,gegen
age,Alter
age,Alter
aged,im Alter von
agency,Agentur
agenda,Tagesordnung
agent,Agent
aggression,Aggression
aggressive,aggressiv
ago,vor
agree,zustimmen
agreement,Vereinbarung
agricultural,Landwirtschaft
agriculture,Landwirtschaft
ah,ah
ahead,voraus
aid,Hilfe
aid,Hilfe
aide,Adjutant
AIDS,AIDS
aim,Ziel
aim,Ziel
air,Luft
aircraft,Flugzeug
airline,Fluggesellschaft
airport,Flughafen
alarm,Alarm
alarm,Alarm
albeit,wenn auch
album,Album
alcohol,Alkohol
alcoholic,alkoholisch
alert,Alarm
alert,Alarm
alert,Alarm
alien,Außerirdische
alien,Außerirdische
align,ausrichten
alignment,Ausrichtung
alike,gleich
alike,gleich
alive,lebendig
all,alle
all,alle
all,alle
all right,in Ordnung
all right,in Ordnung
all right,in Ordnung
allegation,Behauptung
allege,behaupten
allegedly,Angeblich
alliance,Allianz
allocate,zuordnen.
allocation,Zuweisung
allow,ermöglichen
allowance,Zulage
ally,ally
almost,fast
alone,allein
alone,allein
along,entlang
along,entlang
alongside,neben
already,bereits
also,auch
alter,ändern
alternative,alternativ
alternative,alternativ
although,obwohl
altogether,insgesamt
aluminium,Aluminium
always,immer
amateur,Amateur
amateur,Amateur
amazed,erstaunt
amazing,erstaunlich
ambassador,Botschafter
ambition,Ehrgeiz
ambitious,ehrgeizig
ambulance,Krankenwagen
amend,ändern.
amendment,Änderung
amid,inmitten von
among,unter
amount,Betrag
amount,Betrag
amusing,amüsant
analogy,Analogie
analyse,analysieren.
analysis,Analyse
analyst,Analysten
ancestor,Vorfahren
anchor,Anker
ancient,alt
and,und
angel,Engel
anger,Wut
angle,Winkel
angrily,wütend
angry,wütend
animal,Tier
animation,Animation
ankle,Knöchel
anniversary,Jahrestag
announce,anmelden
announcement,Anzeige
annoy,verärgern
annoyed,verärgert
annoying,lästige
annual,jährlich
annually,jährlich
anonymous,anonyme
another,eine andere
another,eine andere
answer,Antwort
answer,Antwort
anticipate,rechnen Sie mit
anxiety,Ängste
anxious,ängstlich
any,jede
any,jede
any,jede
any more,mehr
anybody,jeder
anyone,jeder
anything,alles
anyway,trotzdem
anywhere,überall
anywhere,überall
apart,getrennt
apartment,Wohnung
apologize,entschuldigen.
apology,Entschuldigung
app,app
apparatus,Gerät
apparent,scheinbar
apparently,offenbar
appeal,Beschwerde
appeal,Beschwerde
appealing,ansprechend
appear,erscheinen
appearance,Aussehen
appetite,Appetit
applaud,applaudieren
apple,Apfel
applicable,anwendbar
applicant,Antragsteller
application,Anmeldung
apply,anwenden.
appoint,ernennen
appointment,Ernennung
appreciate,schätzen
appreciation,Wertschätzung
approach,Anfahrt
approach,Anfahrt
appropriate,geeignet.
appropriately,Entsprechend
approval,Zulassung
approve,genehmigen
approximately,etwa
April,April
arbitrary,willkürlich
architect,Architekt
architectural,Architektur
architecture,Architektur
archive,Archiv
area,Bereich
arena,arena
arguably,wohl
argue,argumentieren
argument,Argument
arise,entstehen
arm,Arm
arm,Arm
armed,bewaffnet
arms,Arme
army,Armee
around,um
around,um
arrange,arrangieren.
arrangement,Anordnung
array,Array
arrest,festnehmen
arrest,festnehmen
arrival,Ankunft
arrive,ankommen
arrow,Pfeil
art,Kunst
article,Artikel
articulate,artikulieren
artificial,künstlich
artist,Künstler
artistic,künstlerisch
artwork,Kunstwerk
as,als
as,als
as,als
ash,Asche
ashamed,schämen
aside,beiseite
ask,fragen Sie
asleep,schlafend
aspect,Aspekt
aspiration,Absaugung
aspire,anstreben
assassination,Attentat
assault,Angriff
assault,Angriff
assemble,zusammenstellen
assembly,Montage
assert,behaupten.
assertion,Behauptung
assess,bewerten.
assessment,Bewertung
asset,Vermögen
assign,zuweisen.
assignment,Auftrag
assist,helfen
assistance,Unterstützung
assistant,Assistent
assistant,Assistent
associate,Mitarbeiterin
associated,zugehörig
association,Verein
assume,annehmen
assumption,Annahme
assurance,Versicherung
assure,versichern.
astonishing,Erstaunlich
asylum,Asyl
at,unter
athlete,Athleten
atmosphere,Atmosphäre
atrocity,Gräueltat
attach,anhängen.
attachment,Anhang
attack,angreifen
attack,angreifen
attain,erlangen.
attempt,Versuch
attempt,Versuch
attend,besuchen Sie
attendance,Teilnahme an
attention,Achtung
attention,Achtung
attitude,Einstellung
attorney,Rechtsanwalt
attract,anziehen.
attraction,Anziehungskraft
attractive,attraktiv
attribute,Attribut
attribute,Attribut
auction,Auktion
audience,Publikum
audio,Audio
audit,Prüfung
August,August
aunt,Tante
authentic,authentisch
author,Autor
authority,Behörde
authorize,bevollmächtigen
auto,Auto
automatic,automatisch
automatically,automatisch
autonomy,Autonomie
autumn,Herbst
availability,Verfügbarkeit
available,verfügbar
average,Durchschnitt
average,Durchschnitt
average,Durchschnitt
avoid,vermeiden
await,warten Sie
award,Auszeichnung
award,Auszeichnung
aware,bewusst
awareness,Bewusstsein
away,weg
awful,furchtbar
awkward,peinlich
baby,Baby
back,zurück
back,zurück
back,zurück
back,zurück
backdrop,Kulisse
background,Hintergrund
backing,Rückendeckung
backup,Backup
backwards,rückwärts
bacteria,Bakterien
bad,schlecht
badge,Ausweis
badly,schlecht
bag,Tasche
bail,Kaution
bake,backen
balance,Bilanz
balance,Bilanz
balanced,ausgeglichen
ball,Kugel
ballet,Ballett
balloon,Ballon
ballot,Stimmzettel
ban,verbieten
ban,verbieten
banana,Banane
band,Band
bank,Bank
banner,Banner
bar,bar
bar,bar
bare,nackt
barely,kaum
bargain,Schnäppchen
barrel,Fass
barrier,Barriere
base,Basis
base,Basis
baseball,Baseball
based,basiert
basement,Keller
basic,grundlegend
basically,Grundsätzlich
basis,Basis
basket,Korb
basketball,Basketball
bass,Bass
bat,Fledermaus
bat,Fledermaus
bath,Bad
bathroom,Badezimmer
battery,Batterie
battle,Schlacht
battle,Schlacht
battlefield,Schlachtfeld
bay,Bucht
be,sein
be,sein
beach,Strand
beam,Strahl
bean,Bohne
bear,Bär
bear,Bär
beast,Biest
beat,schlagen
beat,schlagen
beautiful,schön
beauty,Schönheit
because,denn
become,werden.
bed,Bett
bedroom,Schlafzimmer
bee,Biene
beef,Rindfleisch
beer,Bier
before,vor
before,vor
before,vor
beg,betteln
begin,beginnen
beginning,Anfang
behalf,für
behave,sich verhalten
behaviour,Verhalten
behind,hinter
behind,hinter
being,unter
belief,Glaube
believe,glauben
bell,Glocke
belong,gehören
beloved,Geliebte
below,unter
below,unter
belt,Gürtel
bench,Bank
benchmark,Benchmark
bend,biegen
bend,biegen
beneath,unter
beneficial,nützlich
beneficiary,Begünstigter
benefit,profitieren
benefit,profitieren
bent,gebogen
beside,neben
besides,neben
besides,neben
best,am besten
best,am besten
best,am besten
bet,Wette
bet,Wette
betray,verraten
better,besser
better,besser
better,besser
between,zwischen
between,zwischen
beyond,jenseits von
beyond,jenseits von
bias,Vorspannung
bicycle,Fahrrad
bid,Angebot
bid,Angebot
big,groß
bike,Fahrrad
bill,Rechnung
bill,Rechnung
billion,Milliarden
bin,bin
bind,binden
biography,Biographie
biological,biologisch
biology,Biologie
bird,Vogel
birth,Geburt
birthday,Geburtstag
biscuit,Kekse
bishop,Bischof
bit,bit
bite,beißen
bite,beißen
bitter,bitter
bizarre,bizarr
black,schwarz
black,schwarz
blade,Klinge
blame,beschuldigen
blame,beschuldigen
blank,leer
blank,leer
blanket,Decke
blast,Sprengung
blast,Sprengung
bleed,bluten
blend,Mischung
blend,Mischung
bless,segne
blessing,Segen
blind,blind
block,Block
block,Block
blog,Blog
blonde,blond
blood,Blut
blow,blasen
blow,blasen
blue,blau
blue,blau
board,Vorstand
board,Vorstand
boast,rühmen
boat,Boot
body,Körper
boil,kochen
bold,fett
bomb,Bombe
bomb,Bombe
bombing,Bombardierung
bond,Anleihe
bone,Knochen
bonus,Bonus
book,Buch
book,Buch
booking,Buchung
boom,Ausleger
boost,erhöhen
boost,erhöhen
boot,boot
border,Grenze
border,Grenze
bored,gelangweilt
boring,langweilig
born,geboren
borrow,ausleihen
boss,Chef
both,beide
both,beide
bother,belästigen.
bottle,Flasche
bottom,unten
bottom,unten
bounce,Aufprallen
bound,gebunden
boundary,Grenze
bow,Bogen
bow,Bogen
bowl,Schale
box,Box
boy,Junge
boyfriend,Freund
brain,Gehirn
branch,Zweigstelle
brand,Marke
brand,Marke
brave,tapfer
breach,Verletzung
