English,Polish
a,a
abandon,zrezygnować
ability,zdolność
able,zdolny
abolish,znieść
abortion,aborcja
about,o
about,o
above,powyżej
above,powyżej
abroad,za granicą
absence,nieobecność
absent,nieobecny
absolute,absolutny
absolutely,absolutnie
absorb,absorbować
abstract,streszczenie
absurd,absurd
abundance,obfitość
abuse,nadużycie
abuse,nadużycie
academic,akademicki
academic,akademicki
academy,akademia
accelerate,przyspieszyć
accent,akcent
accept,akceptacja
acceptable,akceptowalny
acceptance,akceptacja
access,dostęp
access,dostęp
accessible,dostępny
accident,wypadek
accidentally,przypadkowo
accommodate,pomieścić
accommodation,zakwaterowanie
accompany,towarzyszyć
accomplish,osiągnięcie
accomplishment,osiągnięcie
accordance,zgodność
according to,wg.
accordingly,odpowiednio
account,konto
account,konto
accountability,odpowiedzialność
accountable,odpowiedzialny
accountant,księgowy
accounting,księgowość
accumulate,gromadzić się
accumulation,akumulacja
accuracy,dokładność
accurate,dokładny
accurately,dokładnie
accusation,oskarżenie
accuse,oskarżenie
accused,oskarżony
achieve,osiągnąć
achievement,osiągnięcie
acid,kwas
acid,kwas
acknowledge,potwierdzenie
acquire,nabycie
acquisition,nabycie
acre,akr
across,w poprzek
across,w poprzek
act,działać
act,działać
action,działanie
activate,aktywować się
activation,aktywacja
active,aktywny
activist,aktywista
activity,aktywność
actor,aktor
actress,aktorka
actual,rzeczywisty
actually,faktycznie
acute,ostry
ad,reklama
adapt,adaptacja
adaptation,adaptacja
add,dodać
addiction,uzależnienie
addition,dodatek
additional,dodatkowy
additionally,dodatkowo
address,adres
address,adres
adequate,odpowiedni
adequately,odpowiednio
adhere,przestrzegać
adjacent,przylegający
adjust,dostosowanie
adjustment,dostosowanie
administer,administrator
administration,administracja
administrative,administracyjny
administrator,administrator
admire,podziwiać
admission,wstęp
admit,przyznać
adolescent,nastolatek
adopt,przyjęty
adoption,przyjęcie
adult,dorosły
adult,dorosły
advance,zaliczka
advance,zaliczka
advance,zaliczka
advanced,zaawansowany
advantage,przewaga
adventure,przygoda
adverse,niekorzystny
advertise,reklama
advertisement,reklama
advertising,reklama
advice,rada
advise,radzić
advocate,adwokat
advocate,adwokat
aesthetic,estetyczny
affair,romans
affect,wpływ
affection,uczucie
afford,stać
affordable,przystępny
afraid,obawiać się
after,po
after,po
after,po
aftermath,pokłosie
afternoon,popołudnie
afterwards,później
again,ponownie
against,przeciwko
age,wiek
age,wiek
aged,w wieku
agency,agencja
agenda,agenda
agent,agent
aggression,agresja
aggressive,agresywny
ago,temu
agree,zgadzać się
agreement,umowa
agricultural,rolniczy
agriculture,rolnictwo
ah,ah
ahead,do przodu
aid,pomoc
aid,pomoc
aide,pomocnik
AIDS,AIDS
aim,cel
aim,cel
air,powietrze
aircraft,samolot
airline,linia lotnicza
airport,lotnisko
alarm,alarm
alarm,alarm
albeit,aczkolwiek
album,album
alcohol,alkohol
alcoholic,alkoholik
alert,alert
alert,alert
alert,alert
alien,obcy
alien,obcy
align,wyrównać
alignment,wyrównanie
alike,podobnie
alike,podobnie
alive,żywy
all,wszystko
all,wszystko
all,wszystko
all right,w porządku
all right,w porządku
all right,w porządku
allegation,zarzut
allege,twierdzić
allegedly,rzekomo
alliance,sojusz
allocate,przydzielać
allocation,przydział
allow,zezwolić
allowance,dodatek
ally,sojusznik
almost,prawie
alone,sam
alone,sam
along,wzdłuż
along,wzdłuż
alongside,obok
already,już
also,również
alter,zmienić się
alternative,alternatywa
alternative,alternatywa
although,chociaż
altogether,łącznie
aluminium,aluminium
always,zawsze
amateur,amator
amateur,amator
amazed,zdumiony
amazing,niesamowity
ambassador,ambasador
ambition,ambicja
ambitious,ambitny
ambulance,karetka
amend,poprawka
amendment,poprawka
amid,wśród
among,wśród
amount,kwota
amount,kwota
amusing,zabawny
analogy,analogia
analyse,analizować
analysis,analiza
analyst,analityk
ancestor,przodek
anchor,kotwica
ancient,starożytny
and,oraz
angel,anioł
anger,złość
angle,kąt
angrily,gniewnie
angry,zły
animal,zwierzę
animation,animacja
ankle,kostka
anniversary,rocznica
announce,zapowiedź
announcement,ogłoszenie
annoy,irytować
annoyed,zirytowany
annoying,irytujący
annual,roczny
annually,rocznie
anonymous,anonimowy
another,inny
another,inny
answer,odpowiedź
answer,odpowiedź
anticipate,przewidywać
anxiety,niepokój
anxious,niespokojny
any,dowolny
any,dowolny
any,dowolny
any more,więcej
anybody,ktokolwiek
anyone,ktokolwiek
anything,cokolwiek
anyway,w każdym razie
anywhere,gdziekolwiek
anywhere,gdziekolwiek
apart,oprócz
apartment,mieszkanie
apologize,przepraszać
apology,przeprosiny
app,aplikacja
apparatus,aparat
apparent,pozorny
apparently,pozornie
appeal,odwołanie
appeal,odwołanie
appealing,apelujący
appear,pojawiać się
appearance,wygląd
appetite,apetyt
applaud,oklaski
apple,jabłko
applicable,mający zastosowanie
applicant,wnioskodawca
application,aplikacja
apply,zastosowanie
appoint,wyznaczyć
appointment,nominacja
appreciate,docenić
appreciation,uznanie
approach,podejście
approach,podejście
appropriate,odpowiedni
appropriately,odpowiednio
approval,zatwierdzenie
approve,zatwierdzać
approximately,w przybliżeniu
April,Kwiecień
arbitrary,dowolny
architect,architekt
architectural,architektoniczny
architecture,architektura
archive,archiwum
area,obszar
arena,arena
arguably,prawdopodobnie
argue,spierać się
argument,argument
arise,powstać
arm,ramię
arm,ramię
armed,uzbrojony
