English,Ukrainian
a,a
abandon,покинути
ability,здатність
able,здібний
abolish,скасувати
abortion,аборт
about,про
about,про
above,вище
above,вище
abroad,за кордоном
absence,відсутність
absent,відсутній
absolute,абсолютний
absolutely,Абсолютно.
absorb,поглинати
abstract,анотація
absurd,абсурд.
abundance,достаток
abuse,зловживання
abuse,зловживання
academic,академік
academic,академік
academy,академія
accelerate,прискорити
accent,акцент
accept,прийняти
acceptable,прийнятний
acceptance,прийняття
access,доступ
access,доступ
accessible,доступний
accident,нещасний випадок
accidentally,випадково
accommodate,пристосуватися
accommodation,проживання
accompany,супроводжувати
accomplish,здійснювати
accomplishment,досягнення
accordance,відповідність
according to,згідно з
accordingly,відповідно
account,обліковий запис
account,обліковий запис
accountability,підзвітність
accountable,підзвітний
accountant,бухгалтер
accounting,бухгалтерський облік
accumulate,накопичуватися
accumulation,накопичення
accuracy,точність
accurate,точний
accurately,Точно.
accusation,звинувачення
accuse,звинувачувати
accused,обвинувачений
achieve,досягти
achievement,досягнення
acid,кислота
acid,кислота
acknowledge,визнати
acquire,придбати
acquisition,придбання
acre,акр
across,через
across,через
act,діяти
act,діяти
action,дія
activate,активувати
activation,активація
active,активний
activist,активіст
activity,активність
actor,актор
actress,актриса
actual,справжній
actually,Взагалі-то.
acute,гострий
ad,оголошення
adapt,адаптуватися
adaptation,адаптація
add,додати
addiction,залежність
addition,доповнення
additional,додатковий
additionally,додатково
address,адреса
address,адреса
adequate,адекватний
adequately,адекватно
adhere,дотримуватися
adjacent,прилеглі
adjust,пристосуватися
adjustment,регулювання
administer,адмініструвати
administration,адміністрування
administrative,адміністративний
administrator,адміністратор
admire,захоплюватися
admission,допуск
admit,визнати.
adolescent,підліток
adopt,прийняти
adoption,усиновлення
adult,дорослий
adult,дорослий
advance,аванс
advance,аванс
advance,аванс
advanced,просунутий
advantage,перевага
adventure,пригода
adverse,несприятливий
advertise,рекламувати
advertisement,реклама
advertising,реклама
advice,порада
advise,консультувати
advocate,захисник
advocate,захисник
aesthetic,естетичний
affair,інтрижка
affect,впливати
affection,прихильність
afford,дозволити собі
affordable,доступний
afraid,наляканий.
after,"після того, як"
after,"після того, як"
after,"після того, як"
aftermath,наслідки
afternoon,День добрий.
afterwards,потім
again,Знову
against,проти
age,вік
age,вік
aged,у віці
agency,агентство
agenda,порядок денний
agent,агент
aggression,агресія
aggressive,агресивний
ago,назад.
agree,погодитися
agreement,угода
agricultural,сільськогосподарський
agriculture,сільське господарство
ah,ах
ahead,Попереду
aid,допомога
aid,допомога
aide,помічник
AIDS,СНІД
aim,мета
aim,мета
air,повітря
aircraft,літак
airline,авіакомпанія
airport,аеропорт
alarm,тривога
alarm,тривога
albeit,хоча
album,альбом
alcohol,алкоголь
alcoholic,алкоголік
alert,тривога
alert,тривога
alert,тривога
alien,чужий
alien,чужий
align,вирівняти
alignment,вирівнювання
alike,однаково
alike,однаково
alive,живим.
all,всі
all,всі
all,всі
all right,Гаразд.
all right,Гаразд.
all right,Гаразд.
allegation,звинувачення
allege,стверджувати.
allegedly,нібито
alliance,альянс
allocate,виділити
allocation,розподіл
allow,дозволити
allowance,надбавка
ally,союзник
almost,майже
alone,наодинці.
alone,наодинці.
along,вздовж
along,вздовж
alongside,поряд з
already,вже
also,також
alter,змінювати
alternative,альтернатива
alternative,альтернатива
although,хоча
altogether,в цілому
aluminium,алюміній
always,завжди
amateur,аматорський
amateur,аматорський
amazed,здивований
amazing,дивовижний
ambassador,посол
ambition,амбіції
ambitious,амбітний
ambulance,швидка допомога
amend,внести поправку
amendment,поправка
amid,на тлі
among,серед
amount,кількість
amount,кількість
amusing,кумедний
analogy,аналогія
analyse,аналізувати
analysis,аналіз
analyst,аналітик
ancestor,предка
anchor,якір
ancient,стародавній
and,і
angel,ангел
anger,гнів
angle,кут
angrily,сердито
angry,злий.
animal,тварина
animation,анімація
ankle,щиколотка
anniversary,ювілей
announce,оголосити
announcement,оголошення
annoy,дратувати
annoyed,роздратований
annoying,дратує.
annual,щорічний
annually,щорічно
anonymous,анонімний
another,інший
another,інший
answer,відповідь
answer,відповідь
anticipate,передбачити
anxiety,тривога
anxious,занепокоєний
any,будь-який
any,будь-який
any,будь-який
any more,більше не буде.
anybody,будь-хто
anyone,будь-кого
anything,що завгодно.
anyway,так чи інакше.
anywhere,будь-де
anywhere,будь-де
apart,нарізно
apartment,квартира
apologize,вибачитися.
apology,вибачення
app,додаток
apparatus,апарат
apparent,очевидна
apparently,очевидно.
appeal,апеляція
appeal,апеляція
appealing,привабливий
appear,з'являються
appearance,зовнішній вигляд
appetite,апетит
applaud,аплодисменти
apple,яблуко
applicable,застосовний
applicant,заявник
application,заявка
apply,подати заявку
appoint,призначити
appointment,зустріч
appreciate,цінувати
appreciation,вдячність
approach,підхід
approach,підхід
appropriate,відповідний
appropriately,належним чином
approval,схвалення
approve,схвалюю
approximately,приблизно
April,Квітень
arbitrary,довільний
architect,архітектор
architectural,архітектурний
architecture,архітектура
archive,архів
area,площа
arena,арена
arguably,можливо.
argue,сперечатися
argument,аргумент
arise,виникають
arm,рука
arm,рука
armed,озброєний
arms,зброя
army,армія
around,навколо
around,навколо
arrange,влаштувати
arrangement,домовленість
array,масив
arrest,арешт
arrest,арешт
arrival,приїзд
arrive,приїжджають
arrow,стрілка
art,мистецтво
article,стаття
articulate,артикульований
artificial,штучний
artist,художник
artistic,художній
artwork,робота над картиною
as,як
as,як
as,як
ash,попіл
ashamed,соромно
aside,вбік
ask,запитати
asleep,заснув.
aspect,аспект
aspiration,прагнення
aspire,прагнути
assassination,вбивство
assault,напад
assault,напад
assemble,збирати
assembly,збірка
assert,стверджувати.
assertion,твердження
assess,оцінювати
assessment,оцінка
asset,актив
assign,призначити
assignment,призначення
assist,допомагати
assistance,допомога
assistant,асистент
assistant,асистент
associate,юрист
associated,асоційований
association,об'єднання
assume,припустимо.
assumption,припущення
assurance,запевнення
assure,запевняю.
astonishing,дивовижний
asylum,притулок
at,за адресою
athlete,спортсмен
atmosphere,атмосфера
atrocity,звірство
attach,прикріпити
attachment,прикріплення
attack,атака
attack,атака
attain,досягти
attempt,спроба
attempt,спроба
attend,відвідувати
attendance,відвідуваність
attention,увага
attention,увага
attitude,ставлення
attorney,адвокат
attract,залучати
attraction,атракціон
attractive,привабливий
attribute,атрибут
attribute,атрибут
auction,аукціон
audience,аудиторія
audio,аудіо
audit,аудит
August,Серпень
